Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
Aadhi Bhagavan,2013,157.0,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,False
"Aadhi Haqeeqat, Aadha Fasana",1990,88.0,Documentary,,,Dilip Ghosh,,,,False
Aadhi Mimansa,1991,,,6.2,9.0,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar,True
Aadhi Raat,1957,,,,,Chandrakant,,,,True
Aadhi Raat,1950,115.0,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,False
Aadhi Raat,1999,,Horror,,,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur,True
Aadhi Roti,1957,,Drama,,,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani,True
Aadhi Zindagi Aadhi Maut,1986,,Thriller,,,V. Menon,Aparajita,Abhi Bhattacharya,Sargam,True
Aadi Shakti,1992,,Action,,,Govind Singh,Raza Murad,Yunus Parvez,,True
Aadmi,1968,175.0,"Drama, Romance",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,False
Aadmi,1993,153.0,"Action, Crime, Drama",6.5,97.0,Arshad Khan,Ajit,Vikas Anand,Arjun,False
Aadmi Aur Apsara,1991,142.0,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,False
Aadmi Aur Aurat,2001,,Thriller,,,Alka Kubal,Raza Murad,Ramanna,,True
Aadmi Aur Insaan,1969,168.0,"Drama, Romance, Thriller",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,False
Aadmi Khilona Hai,1993,158.0,"Drama, Romance",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda,False
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78.0,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,False
Aadmi Sadak Ka,1977,138.0,"Drama, Family",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,False
